datetime,open,high,low,close,volume
2024-08-08 10:00:00,4.352,6.47,4.352,6.194,2268364.72
2024-08-08 11:00:00,6.194,6.288,6.119,6.169,601518.49
2024-08-08 12:00:00,6.17,6.277,6.137,6.257,587406.85
2024-08-08 13:00:00,6.257,6.332,6.21,6.248,575332.4
2024-08-08 14:00:00,6.249,6.364,6.249,6.339,568708.32
2024-08-08 15:00:00,6.337,6.339,6.25,6.276,400153.36
2024-08-08 16:00:00,6.275,6.316,6.21,6.226,356169.75
2024-08-08 17:00:00,6.227,6.234,6.137,6.179,362172.34
2024-08-08 18:00:00,6.179,6.227,6.161,6.188,151453.03
2024-08-08 19:00:00,6.187,6.2,6.122,6.143,170071.12
2024-08-08 20:00:00,6.142,6.164,6.099,6.102,199232.38
2024-08-08 21:00:00,6.102,6.184,6.056,6.16,313586.35
2024-08-08 22:00:00,6.16,6.207,6.112,6.172,224009.36
2024-08-08 23:00:00,6.171,6.281,6.15,6.218,423476.64
2024-08-09 00:00:00,6.217,6.218,6.116,6.136,282757.1
2024-08-09 01:00:00,6.137,6.155,6.081,6.139,210737.32
2024-08-09 02:00:00,6.139,6.16,6.118,6.125,144483.01
2024-08-09 03:00:00,6.125,6.199,6.125,6.196,103881.83
2024-08-09 04:00:00,6.196,6.6,6.191,6.273,1574314.05
2024-08-09 05:00:00,6.275,6.448,6.254,6.366,817605.68
2024-08-09 06:00:00,6.367,6.565,6.352,6.507,949389.89
2024-08-09 07:00:00,6.505,6.55,6.376,6.405,626943.71
2024-08-09 08:00:00,6.405,6.624,6.377,6.501,865045.85
2024-08-09 09:00:00,6.501,6.514,6.443,6.494,308970.94
2024-08-09 10:00:00,6.494,6.522,6.424,6.441,387360.95
2024-08-09 11:00:00,6.446,6.478,6.377,6.379,256115.09
2024-08-09 12:00:00,6.379,6.486,6.376,6.482,265220.63
2024-08-09 13:00:00,6.482,6.612,6.416,6.584,976912.94
2024-08-09 14:00:00,6.585,6.631,6.531,6.622,477196.14
2024-08-09 15:00:00,6.62,6.832,6.587,6.741,1268464.25
2024-08-09 16:00:00,6.741,6.817,6.64,6.68,600511.04
2024-08-09 17:00:00,6.68,6.7,6.598,6.655,263779.07
2024-08-09 18:00:00,6.655,6.68,6.57,6.589,232873.07
2024-08-09 19:00:00,6.59,6.598,6.551,6.582,138715.44
2024-08-09 20:00:00,6.58,6.63,6.561,6.573,176432.29
2024-08-09 21:00:00,6.571,6.577,6.529,6.545,92061.58
2024-08-09 22:00:00,6.544,6.577,6.514,6.571,101266.85
2024-08-09 23:00:00,6.571,6.624,6.537,6.619,107127.55
2024-08-10 00:00:00,6.619,6.701,6.605,6.605,250728.81
2024-08-10 01:00:00,6.605,6.691,6.605,6.645,102559.99
2024-08-10 02:00:00,6.644,6.713,6.627,6.709,175762.92
2024-08-10 03:00:00,6.708,6.734,6.675,6.706,169882.5
2024-08-10 04:00:00,6.705,6.739,6.674,6.713,167256.86
2024-08-10 05:00:00,6.714,6.714,6.648,6.669,137219.53
2024-08-10 06:00:00,6.669,6.709,6.639,6.699,155009.23
2024-08-10 07:00:00,6.7,6.719,6.678,6.711,141598.64
2024-08-10 08:00:00,6.711,6.84,6.7,6.834,539959.06
2024-08-10 09:00:00,6.833,6.837,6.763,6.809,340150.63
2024-08-10 10:00:00,6.809,6.846,6.668,6.714,1084288.81
2024-08-10 11:00:00,6.714,6.735,6.676,6.679,279276.49
2024-08-10 12:00:00,6.679,6.717,6.665,6.705,130949.84
2024-08-10 13:00:00,6.705,6.73,6.647,6.652,205654.81
2024-08-10 14:00:00,6.652,6.676,6.619,6.635,236502.75
2024-08-10 15:00:00,6.636,6.664,6.599,6.607,140066.91
2024-08-10 16:00:00,6.607,6.684,6.604,6.664,154360.56
2024-08-10 17:00:00,6.665,6.721,6.643,6.711,217000.44
2024-08-10 18:00:00,6.71,6.718,6.675,6.695,96395.12
2024-08-10 19:00:00,6.695,6.729,6.686,6.7,128899.57
2024-08-10 20:00:00,6.7,6.72,6.686,6.691,46147.16
2024-08-10 21:00:00,6.691,6.726,6.676,6.708,66678.16
2024-08-10 22:00:00,6.707,6.709,6.67,6.677,120523.79
2024-08-10 23:00:00,6.678,6.695,6.664,6.673,46536.56
2024-08-11 00:00:00,6.674,6.676,6.648,6.669,98986.27
2024-08-11 01:00:00,6.668,6.712,6.631,6.711,143059.07
2024-08-11 02:00:00,6.71,6.725,6.654,6.679,204340.22
