datetime,open,high,low,close,volume
2020-11-11 16:00:00,60.07,60.55,59.93,60.29,11478.11316
2020-11-11 17:00:00,60.3,60.4,59.78,60.15,8171.93909
2020-11-11 18:00:00,60.2,60.24,59.67,59.73,7622.8904
2020-11-11 19:00:00,59.77,59.99,59.6,59.67,2914.3419
2020-11-11 20:00:00,59.67,59.67,59.0,59.3,8650.46345
2020-11-11 21:00:00,59.32,59.7,59.26,59.41,6684.29812
2020-11-11 22:00:00,59.4,59.59,59.32,59.42,1645.55077
2020-11-11 23:00:00,59.41,59.41,58.77,58.92,4606.06921
2020-11-12 00:00:00,58.88,58.9,57.82,58.56,15656.7332
2020-11-12 01:00:00,58.56,59.02,58.38,58.81,6803.86783
2020-11-12 02:00:00,58.78,62.5,58.55,62.42,70087.43549
2020-11-12 03:00:00,62.42,63.15,61.45,62.35,50143.23009
2020-11-12 04:00:00,62.34,63.23,62.16,63.12,16669.52967
2020-11-12 05:00:00,63.1,63.41,62.13,62.16,15946.91295
2020-11-12 06:00:00,62.15,62.53,61.52,62.13,12978.80148
2020-11-12 07:00:00,62.11,62.75,61.85,62.41,11377.14638
2020-11-12 08:00:00,62.39,62.4,61.55,61.55,6653.78694
2020-11-12 09:00:00,61.54,61.94,61.08,61.94,20399.82795
2020-11-12 10:00:00,61.94,62.71,60.67,60.79,25198.69006
2020-11-12 11:00:00,60.81,61.53,60.5,61.26,8915.46752
2020-11-12 12:00:00,61.28,61.78,61.16,61.59,7429.01625
2020-11-12 13:00:00,61.56,61.65,61.17,61.56,9021.01893
2020-11-12 14:00:00,61.54,61.84,60.66,61.19,14502.43407
2020-11-12 15:00:00,61.17,62.34,61.14,61.99,14399.68964
2020-11-12 16:00:00,62.0,62.04,61.11,61.56,11505.45326
2020-11-12 17:00:00,61.56,61.92,60.91,60.91,9051.13998
2020-11-12 18:00:00,60.9,61.37,60.82,61.31,8487.20507
2020-11-12 19:00:00,61.33,61.99,61.32,61.95,7285.8027
2020-11-12 20:00:00,61.95,62.93,61.71,62.72,23357.99635
2020-11-12 21:00:00,62.73,63.05,62.42,62.86,13023.14423
2020-11-12 22:00:00,62.87,63.32,62.53,62.81,17968.65635
2020-11-12 23:00:00,62.79,63.25,62.42,62.99,17806.96288
2020-11-13 00:00:00,62.99,63.29,62.64,63.08,11950.6922
2020-11-13 01:00:00,63.1,63.74,62.7,62.73,15902.92834
2020-11-13 02:00:00,62.73,62.83,62.39,62.65,11510.74673
2020-11-13 03:00:00,62.66,62.89,62.16,62.31,11595.24568
2020-11-13 04:00:00,62.35,62.59,62.2,62.29,4682.18759
2020-11-13 05:00:00,62.29,62.3,61.71,61.94,10133.56694
2020-11-13 06:00:00,61.95,62.42,61.91,62.28,6406.63271
2020-11-13 07:00:00,62.28,62.45,61.64,62.19,12181.5867
2020-11-13 08:00:00,62.23,62.97,61.9,62.93,12703.79469
2020-11-13 09:00:00,62.91,63.67,62.91,63.67,15840.76975
2020-11-13 10:00:00,63.67,63.72,62.66,62.96,12397.62483
2020-11-13 11:00:00,62.96,63.36,62.69,63.19,11608.12686
2020-11-13 12:00:00,63.23,63.82,62.96,63.52,11209.92991
2020-11-13 13:00:00,63.52,64.65,63.48,64.56,21321.03994
2020-11-13 14:00:00,64.56,64.65,63.76,64.26,18360.06135
2020-11-13 15:00:00,64.27,64.41,63.54,63.87,12113.39743
2020-11-13 16:00:00,63.89,64.59,63.14,64.47,16823.96268
2020-11-13 17:00:00,64.47,64.98,64.09,64.6,26723.08563
2020-11-13 18:00:00,64.61,65.15,64.56,65.15,13596.3799
2020-11-13 19:00:00,65.15,65.44,64.66,65.4,19610.48726
2020-11-13 20:00:00,65.41,65.44,64.73,64.79,12003.06794
2020-11-13 21:00:00,64.77,65.44,64.77,65.38,10495.43061
2020-11-13 22:00:00,65.36,65.89,65.03,65.88,10531.69207
2020-11-13 23:00:00,65.9,66.02,65.18,65.8,13165.09926
2020-11-14 00:00:00,65.8,65.88,64.76,65.15,12696.97849
2020-11-14 01:00:00,65.18,65.18,64.5,64.6,6392.22253
2020-11-14 02:00:00,64.58,65.17,64.34,64.57,7343.1463
2020-11-14 03:00:00,64.55,65.08,64.23,64.57,9811.10358
2020-11-14 04:00:00,64.55,64.55,63.81,63.81,7710.79786
2020-11-14 05:00:00,63.81,63.91,63.3,63.85,12723.11137
2020-11-14 06:00:00,63.85,64.33,63.82,64.04,11477.63337
2020-11-14 07:00:00,64.02,64.26,63.3,63.43,12195.68913
2020-11-14 08:00:00,63.43,63.54,62.16,62.72,24723.44534
2020-11-14 09:00:00,62.72,62.83,61.72,61.75,22396.25084
2020-11-14 10:00:00,61.74,62.29,61.45,61.92,18616.70388
2020-11-14 11:00:00,61.92,62.6,61.73,62.38,8542.87148
2020-11-14 12:00:00,62.34,62.76,62.02,62.75,6319.74454
2020-11-14 13:00:00,62.72,62.99,62.5,62.76,4129.8686
2020-11-14 14:00:00,62.76,63.37,62.76,63.37,6020.34605
2020-11-14 15:00:00,63.36,63.62,62.87,63.02,8504.47998
2020-11-14 16:00:00,63.01,63.57,62.41,62.52,12211.7599
2020-11-14 17:00:00,62.51,63.17,61.92,62.99,16972.25208
2020-11-14 18:00:00,62.97,63.48,62.92,63.25,11610.02794
2020-11-14 19:00:00,63.26,63.53,62.83,63.24,18286.93028
2020-11-14 20:00:00,63.22,64.0,62.97,63.87,19527.11255
2020-11-14 21:00:00,63.87,64.17,63.53,63.93,14516.47184
2020-11-14 22:00:00,63.93,64.25,63.64,64.24,18883.26142
2020-11-14 23:00:00,64.25,64.57,63.87,63.9,10244.02901
2020-11-15 00:00:00,63.9,64.25,63.81,64.05,5139.7154
2020-11-15 01:00:00,64.05,64.22,63.27,63.54,8366.40538
2020-11-15 02:00:00,63.57,63.76,63.14,63.26,5787.66455
2020-11-15 03:00:00,63.32,63.37,62.45,62.6,9624.71346
2020-11-15 04:00:00,62.6,62.86,62.3,62.66,4833.32876
2020-11-15 05:00:00,62.66,63.36,62.66,63.28,3892.4342
2020-11-15 06:00:00,63.31,63.63,63.22,63.37,6335.61052
2020-11-15 07:00:00,63.39,63.59,63.26,63.58,2554.75943
2020-11-15 08:00:00,63.58,63.65,63.05,63.27,9033.74147
2020-11-15 09:00:00,63.27,63.43,62.93,63.09,4596.94091
2020-11-15 10:00:00,63.08,63.22,62.33,62.38,10430.44652
2020-11-15 11:00:00,62.38,62.71,61.91,61.98,11785.51403
2020-11-15 12:00:00,61.96,62.46,61.71,62.07,14728.61072
2020-11-15 13:00:00,62.05,62.37,61.66,62.23,13015.89596
2020-11-15 14:00:00,62.23,62.6,62.1,62.15,7079.34543
2020-11-15 15:00:00,62.16,62.4,61.94,61.99,5015.98335
2020-11-15 16:00:00,61.99,62.37,61.61,61.95,9296.27672
2020-11-15 17:00:00,61.92,62.0,60.62,60.74,21446.88243
2020-11-15 18:00:00,60.73,61.22,60.2,61.2,14453.94935
2020-11-15 19:00:00,61.2,61.41,60.8,60.94,6740.22742
2020-11-15 20:00:00,60.91,61.12,60.62,60.97,9015.42592
2020-11-15 21:00:00,60.96,61.07,60.72,60.83,4229.74925
2020-11-15 22:00:00,60.8,61.24,59.64,61.07,26207.59241
2020-11-15 23:00:00,61.06,61.28,60.92,61.16,7866.58665
2020-11-16 00:00:00,61.13,61.85,60.53,61.71,12309.43538
2020-11-16 01:00:00,61.72,62.39,61.63,61.93,12176.2392
2020-11-16 02:00:00,61.93,62.33,61.71,61.88,12768.49321
2020-11-16 03:00:00,61.9,62.92,61.85,62.53,14934.80456
2020-11-16 04:00:00,62.54,62.64,62.31,62.47,3087.40326
2020-11-16 05:00:00,62.49,63.1,62.49,62.9,8772.56059
2020-11-16 06:00:00,62.88,63.55,62.86,63.45,8346.3686
2020-11-16 07:00:00,63.47,63.58,63.28,63.45,4103.53309
2020-11-16 08:00:00,63.49,63.51,63.05,63.1,6969.63631
2020-11-16 09:00:00,63.1,63.21,62.7,63.08,6325.63665
2020-11-16 10:00:00,63.1,63.62,63.01,63.57,7888.74124
2020-11-16 11:00:00,63.57,63.73,63.07,63.08,8129.64344
2020-11-16 12:00:00,63.08,64.53,63.08,64.29,29676.03431
2020-11-16 13:00:00,64.27,64.69,63.72,64.48,18085.83278
2020-11-16 14:00:00,64.5,65.45,64.46,65.18,20682.50064
2020-11-16 15:00:00,65.18,65.42,65.03,65.29,9964.18385
2020-11-16 16:00:00,65.34,65.55,64.67,64.84,17190.80116
2020-11-16 17:00:00,64.86,65.85,64.86,65.75,9566.73879
2020-11-16 18:00:00,65.75,66.32,65.52,66.29,15526.46655
2020-11-16 19:00:00,66.3,67.35,66.28,66.93,30682.69144
2020-11-16 20:00:00,66.97,67.13,65.89,66.19,17466.77111
2020-11-16 21:00:00,66.19,66.54,65.03,65.1,27766.39175
2020-11-16 22:00:00,65.09,65.59,64.92,65.39,12392.8662
2020-11-16 23:00:00,65.39,65.98,64.15,64.55,21596.27227
2020-11-17 00:00:00,64.52,65.59,64.33,65.41,7748.82586
2020-11-17 01:00:00,65.39,65.48,64.86,65.26,9714.5228
2020-11-17 02:00:00,65.24,65.48,64.64,64.96,8412.13177
2020-11-17 03:00:00,64.97,65.04,64.46,64.54,7632.52243
2020-11-17 04:00:00,64.53,65.65,64.21,65.63,13068.28788
2020-11-17 05:00:00,65.59,66.07,65.14,65.42,8880.30974
2020-11-17 06:00:00,65.45,65.8,65.19,65.52,10157.47645
2020-11-17 07:00:00,65.52,65.76,65.43,65.69,4968.47063
2020-11-17 08:00:00,65.69,65.74,65.17,65.25,8559.60732
2020-11-17 09:00:00,65.22,65.48,64.12,64.41,12390.28029
2020-11-17 10:00:00,64.41,65.17,64.33,65.04,7469.51865
2020-11-17 11:00:00,65.02,65.46,64.91,65.31,9666.29531
2020-11-17 12:00:00,65.31,65.61,64.86,65.5,13182.68183
2020-11-17 13:00:00,65.48,65.53,64.49,64.68,11247.27002
2020-11-17 14:00:00,64.66,65.63,64.55,65.57,11062.17075
2020-11-17 15:00:00,65.57,65.8,64.99,65.64,20679.62175
2020-11-17 16:00:00,65.66,66.2,65.0,66.03,24820.61006
2020-11-17 17:00:00,66.03,66.2,65.04,65.56,19994.084
2020-11-17 18:00:00,65.56,65.69,65.25,65.65,11083.05632
2020-11-17 19:00:00,65.65,66.43,65.44,66.42,13798.37771
2020-11-17 20:00:00,66.42,66.76,66.2,66.71,11959.78619
2020-11-17 21:00:00,66.71,66.89,65.96,66.57,12794.96183
2020-11-17 22:00:00,66.57,67.09,66.1,67.05,12427.87238
2020-11-17 23:00:00,67.05,67.11,66.71,66.82,10396.26772
2020-11-18 00:00:00,66.8,67.82,66.65,66.97,24754.83884
2020-11-18 01:00:00,66.95,67.16,66.2,66.57,14757.38515
2020-11-18 02:00:00,66.57,66.58,65.7,65.84,14856.73195
2020-11-18 03:00:00,65.85,65.94,64.55,64.85,32106.55813
2020-11-18 04:00:00,64.82,65.89,64.7,65.6,17458.07628
2020-11-18 05:00:00,65.56,65.95,60.17,62.29,64557.733
2020-11-18 06:00:00,62.24,63.55,61.89,62.89,31557.33218
2020-11-18 07:00:00,62.9,63.44,62.38,63.33,17350.04507
2020-11-18 08:00:00,63.32,63.43,62.69,62.89,15328.22138
2020-11-18 09:00:00,62.94,62.94,61.86,62.36,21230.01149
2020-11-18 10:00:00,62.37,63.2,62.05,63.13,14429.13268
2020-11-18 11:00:00,63.13,63.4,62.48,63.4,16448.19461
2020-11-18 12:00:00,63.41,64.92,63.32,64.62,23933.04822
2020-11-18 13:00:00,64.6,64.89,62.95,63.21,25148.01943
2020-11-18 14:00:00,63.19,63.31,62.23,62.32,18011.01756
2020-11-18 15:00:00,62.32,62.69,61.13,62.63,30191.51137
2020-11-18 16:00:00,62.61,63.0,61.89,62.41,17699.20311
2020-11-18 17:00:00,62.41,63.05,62.3,62.84,7124.11378
2020-11-18 18:00:00,62.82,62.91,62.2,62.25,5643.45715
2020-11-18 19:00:00,62.25,62.8,61.81,62.14,8367.72596
2020-11-18 20:00:00,62.13,62.25,61.46,61.67,13152.16601
2020-11-18 21:00:00,61.63,62.37,61.63,62.34,5592.44935
2020-11-18 22:00:00,62.34,63.14,62.07,63.09,7401.96079
2020-11-18 23:00:00,63.11,63.5,62.66,63.17,12799.20553
2020-11-19 00:00:00,63.17,63.43,62.37,62.93,13600.95246
2020-11-19 01:00:00,62.97,63.22,62.73,63.02,7705.37732
2020-11-19 02:00:00,63.02,63.13,62.28,62.37,10266.51429
2020-11-19 03:00:00,62.41,62.61,61.7,61.77,16519.30819
2020-11-19 04:00:00,61.76,61.98,61.49,61.9,7675.40153
2020-11-19 05:00:00,61.91,61.98,61.36,61.87,8748.82279
2020-11-19 06:00:00,61.87,62.01,61.5,61.58,9399.05167
2020-11-19 07:00:00,61.58,61.85,61.04,61.28,11409.20527
2020-11-19 08:00:00,61.31,61.54,60.51,61.04,21585.25462
2020-11-19 09:00:00,61.04,61.25,60.35,60.57,10110.82077
2020-11-19 10:00:00,60.55,61.47,60.39,61.22,9385.45114
2020-11-19 11:00:00,61.23,62.25,61.12,62.14,10709.07044
2020-11-19 12:00:00,62.12,62.86,61.7,62.67,18596.55479
2020-11-19 13:00:00,62.67,63.59,62.64,63.03,18474.90143
2020-11-19 14:00:00,63.02,63.29,62.51,62.96,12322.37687
2020-11-19 15:00:00,62.98,63.01,62.08,62.81,22057.36783
2020-11-19 16:00:00,62.8,63.15,62.19,62.99,18862.08637
2020-11-19 17:00:00,62.98,63.12,62.41,62.81,8039.7159
2020-11-19 18:00:00,62.82,63.01,62.58,62.85,9187.97146
2020-11-19 19:00:00,62.86,63.23,62.8,63.02,7564.6714
2020-11-19 20:00:00,63.01,64.04,62.89,63.71,12128.96055
2020-11-19 21:00:00,63.66,63.85,62.23,62.51,16265.80021
2020-11-19 22:00:00,62.51,62.74,62.14,62.19,5945.96522
2020-11-19 23:00:00,62.19,62.69,61.55,62.38,14744.62405
2020-11-20 00:00:00,62.36,62.67,62.1,62.17,5528.97444
2020-11-20 01:00:00,62.2,62.8,62.05,62.75,5519.71626
2020-11-20 02:00:00,62.77,62.92,62.45,62.71,10596.5432
2020-11-20 03:00:00,62.76,63.48,62.76,63.15,7864.76027
2020-11-20 04:00:00,63.17,63.33,62.67,62.83,9751.48071
2020-11-20 05:00:00,62.84,62.91,62.35,62.62,4723.51569
2020-11-20 06:00:00,62.63,62.89,62.42,62.8,7182.83103
2020-11-20 07:00:00,62.81,63.25,62.16,62.69,18235.84445
2020-11-20 08:00:00,62.72,63.25,62.56,63.22,11461.45597
2020-11-20 09:00:00,63.19,63.3,62.69,63.12,10120.14814
2020-11-20 10:00:00,63.12,64.4,62.93,64.06,18842.38724
2020-11-20 11:00:00,64.07,64.14,63.37,63.66,20755.96187
2020-11-20 12:00:00,63.69,63.95,63.38,63.69,9775.22369
2020-11-20 13:00:00,63.67,64.34,63.57,64.27,14016.38593
2020-11-20 14:00:00,64.27,64.6,63.61,63.95,15569.90104
2020-11-20 15:00:00,63.96,63.96,63.24,63.61,14546.23256
2020-11-20 16:00:00,63.61,63.95,62.8,63.52,16022.07007
2020-11-20 17:00:00,63.53,63.68,63.21,63.53,7028.44911
2020-11-20 18:00:00,63.52,63.6,62.52,63.11,12875.92733
2020-11-20 19:00:00,63.11,63.35,62.74,63.24,3603.95438
2020-11-20 20:00:00,63.26,63.56,62.86,63.01,10279.84423
2020-11-20 21:00:00,63.01,63.03,62.61,62.81,4117.5313
2020-11-20 22:00:00,62.8,62.84,62.26,62.7,7909.40925
2020-11-20 23:00:00,62.7,63.25,62.44,63.23,8490.57467
2020-11-21 00:00:00,63.2,63.96,63.15,63.74,12599.67794
2020-11-21 01:00:00,63.75,64.29,63.57,63.96,18325.65466
2020-11-21 02:00:00,63.97,64.78,62.98,63.27,25954.69308
2020-11-21 03:00:00,63.34,63.95,63.15,63.28,15711.19569
2020-11-21 04:00:00,63.29,63.3,62.4,63.1,19194.54771
2020-11-21 05:00:00,63.09,63.76,63.04,63.64,12485.98304
2020-11-21 06:00:00,63.64,64.32,63.5,64.3,15216.06774
2020-11-21 07:00:00,64.31,64.76,64.22,64.71,11796.67664
2020-11-21 08:00:00,64.7,66.53,64.69,66.41,36038.6355
2020-11-21 09:00:00,66.43,67.3,65.83,65.98,38606.08118
2020-11-21 10:00:00,65.98,66.43,65.42,65.72,24004.42297
2020-11-21 11:00:00,65.73,66.03,64.72,65.11,23798.29922
2020-11-21 12:00:00,65.11,66.83,64.27,66.5,33744.70308
2020-11-21 13:00:00,66.5,68.44,66.43,68.38,36424.07324
2020-11-21 14:00:00,68.36,69.34,67.73,69.21,51551.56756
2020-11-21 15:00:00,69.2,69.36,68.3,69.03,29138.41256
2020-11-21 16:00:00,69.05,72.21,69.01,70.7,79751.94439
2020-11-21 17:00:00,70.7,71.43,68.44,69.82,56182.58243
2020-11-21 18:00:00,69.84,70.56,69.24,70.23,25735.85688
2020-11-21 19:00:00,70.24,70.83,69.39,69.64,24784.98264
2020-11-21 20:00:00,69.67,69.73,68.98,69.65,17683.03442
2020-11-21 21:00:00,69.66,71.35,69.37,71.23,17333.253
2020-11-21 22:00:00,71.22,73.0,70.25,72.62,36270.87451
2020-11-21 23:00:00,72.64,72.85,71.65,72.62,38385.26433
2020-11-22 00:00:00,72.65,73.99,70.17,70.92,62655.84831
2020-11-22 01:00:00,70.88,71.64,68.04,69.01,84220.83313
2020-11-22 02:00:00,69.01,70.25,68.9,69.87,23515.27714
2020-11-22 03:00:00,69.91,70.02,68.66,69.6,21909.50406
2020-11-22 04:00:00,69.6,69.83,68.23,69.73,18440.6014
2020-11-22 05:00:00,69.72,69.72,68.63,68.73,13558.1039
2020-11-22 06:00:00,68.72,69.19,67.43,68.7,25501.19144
2020-11-22 07:00:00,68.7,68.7,67.0,68.45,26307.38367
2020-11-22 08:00:00,68.44,68.6,66.77,66.91,24324.17799
2020-11-22 09:00:00,66.93,69.55,66.56,69.28,26156.54536
2020-11-22 10:00:00,69.28,69.28,67.61,68.19,27180.08243
2020-11-22 11:00:00,68.15,68.45,65.05,66.45,51082.34718
2020-11-22 12:00:00,66.43,67.19,66.0,66.74,25010.20713
2020-11-22 13:00:00,66.75,67.27,66.4,67.14,13331.1155
2020-11-22 14:00:00,67.14,67.75,66.57,67.01,13729.17046
2020-11-22 15:00:00,66.99,67.81,66.97,67.63,9671.6715
2020-11-22 16:00:00,67.6,69.94,67.31,69.62,34685.32601
2020-11-22 17:00:00,69.65,69.94,69.21,69.34,13618.39138
2020-11-22 18:00:00,69.33,70.36,69.29,69.73,24193.50071
2020-11-22 19:00:00,69.7,70.73,69.68,70.7,11342.4378
2020-11-22 20:00:00,70.7,71.51,70.27,70.62,19701.1641
2020-11-22 21:00:00,70.63,71.12,70.3,70.94,9821.41689
2020-11-22 22:00:00,70.9,71.32,70.6,70.79,10207.84772
