hour,btc_predicted,btc_actual
1,107422.82,107768.9
2,107439.195,107908.68
3,107489.25,108059.99
4,107600.77,105745.71
5,107796.805,106678.44
6,108024.69,107481.19
7,108257.78,106961.62
8,108395.34,107090.0
9,108503.66,106657.55
10,108556.93,106888.71
11,108570.84,106489.95
12,108485.4,106583.04
13,108435.875,106471.45
14,108342.664,107040.01
15,108275.2,106482.6
16,108185.89,107158.79
17,107848.68,106750.14
18,107846.46,104215.76
19,107903.73,104766.14
20,108003.56,104490.72
21,108043.51,104051.9
22,108162.26,103857.96
23,108276.9,103816.39
24,108319.31,104584.76
25,108439.695,103952.54
26,108567.21,103924.25
27,108602.97,104500.01
28,108564.87,103197.01
29,108507.12,102257.7
30,108428.67,101114.83
31,108326.62,101363.98
32,108258.74,100542.64
33,108369.88,100755.43
34,108462.46,100311.46
35,108513.94,101295.71
36,108560.94,101497.22
37,108541.46,100564.3
38,108524.4,100761.62
39,108595.37,101677.93
40,108579.44,102130.0
41,108568.84,101998.3
42,108524.836,101824.89
43,108188.125,102119.99
44,107690.055,101993.02
45,107280.14,101699.74
46,106971.25,101995.29
47,106777.13,101401.97
48,106749.57,102070.61
49,107213.73,102673.35
50,107077.93,102985.91
51,106930.03,103202.3
52,106870.35,103728.3
53,106754.62,103919.2
54,106797.93,103904.05
55,106917.945,104347.4
56,107038.234,104008.09
57,107252.74,103831.22
58,107380.72,103672.37
59,107506.44,103706.55
60,107675.625,103885.16
61,107867.56,103677.72
62,108115.695,103365.65
63,108377.48,103321.81
64,108508.445,103636.03
65,108471.71,104030.79
66,108515.37,103143.57
67,108549.016,103318.75
68,108608.98,103185.48
69,108642.086,103200.26
70,108761.41,102810.01
71,108798.336,103122.54
72,108813.73,103227.58
73,108828.53,102552.38
74,108768.29,103319.71
75,108580.61,102125.0
76,108307.12,102014.48
77,108086.3,100867.2
78,108007.37,101804.01
79,107919.95,101722.13
80,107922.484,101388.81
81,108250.516,100914.11
82,108140.414,101117.17
83,108045.78,101415.05
84,108104.77,101346.04
85,108204.57,101479.78
86,108409.04,101538.96
87,108556.53,101905.11
88,108618.37,101916.29
89,108695.086,102027.19
90,108698.336,102447.47
91,108532.03,101819.1
92,108259.91,102010.0
93,108052.41,101496.18
94,107990.26,101013.66
95,107930.33,100770.85
96,108007.11,100411.89
97,108574.84,99638.28
98,108638.086,100347.35
99,108663.07,100806.08
100,108640.836,100797.95
101,108648.39,101169.2
102,108752.18,102397.12
103,108869.01,102609.46
104,108891.7,103395.25
105,108977.86,103783.09
106,109087.37,103879.23
107,109056.03,103633.03
108,108976.0,103339.08
109,108909.37,102713.15
110,108905.125,102996.84
111,108927.53,102846.65
112,108985.88,102592.76
113,109427.92,102565.03
114,109353.32,102304.0
115,109179.445,102215.62
116,109052.734,102352.96
117,108948.4,102431.74
118,108924.97,102399.46
119,108955.01,102480.04
120,108925.164,101857.1
121,108961.43,102065.14
122,108968.484,101804.63
123,108857.055,101827.19
124,108699.75,101711.45
125,108547.125,101850.22
126,108474.62,101994.52
127,108319.39,102139.53
128,108168.1,101989.65
129,108236.6,102068.06
130,108137.06,102272.81
131,108036.8,102377.46
132,107982.3,102312.94
133,107963.67,101797.74
134,108041.61,102045.07
135,108216.5,101633.25
136,108358.16,101662.05
137,108584.5,101724.91
138,108781.44,101928.54
139,108825.914,101752.83
140,108748.9,101944.59
141,108652.22,101972.94
142,108533.88,101657.46
143,108357.19,101876.36
144,108298.31,102239.41
145,108210.23,102086.9
146,108151.13,102911.39
147,108131.195,103037.9
148,108257.72,103762.17
149,108326.055,103845.04
150,108510.2,103637.57
151,108653.664,104512.65
152,108744.71,104805.57
153,108744.555,104633.12
154,108756.82,104528.82
155,108669.66,104732.48
156,108393.9,104722.96
157,107986.84,106314.96
158,107748.125,105699.99
159,107355.87,106006.69
160,107121.305,106027.97
161,107264.695,106153.14
162,107205.43,106100.0
163,107119.13,106221.88
164,107202.305,106461.45
165,107247.805,105965.46
166,107588.84,106440.0
167,107911.164,105995.26
168,108177.78,106149.57
